image,sports
./train/0.jpg,baseball
./train/1.jpg,formula1
./train/2.jpg,fencing
./train/3.jpg,motogp
./train/4.jpg,ice_hockey
./train/5.jpg,wrestling
./train/6.jpg,motogp
./train/7.jpg,boxing
./train/8.jpg,volleyball
./train/9.jpg,volleyball
./train/10.jpg,cricket
./train/11.jpg,ice_hockey
./train/12.jpg,basketball
./train/13.jpg,motogp
./train/14.jpg,baseball
./train/15.jpg,wwe
./train/16.jpg,ice_hockey
./train/17.jpg,swimming
./train/18.jpg,baseball
./train/19.jpg,ice_hockey
./train/20.jpg,weight_lifting
./train/21.jpg,gymnastics
./train/22.jpg,wwe
./train/23.jpg,boxing
./train/24.jpg,wwe
./train/25.jpg,tennis
./train/26.jpg,gymnastics
./train/27.jpg,gymnastics
./train/28.jpg,formula1
./train/29.jpg,cricket
./train/30.jpg,wrestling
./train/31.jpg,kabaddi
./train/32.jpg,badminton
./train/33.jpg,badminton
./train/34.jpg,formula1
./train/35.jpg,swimming
./train/36.jpg,wrestling
./train/37.jpg,football
./train/38.jpg,kabaddi
./train/39.jpg,wrestling
./train/40.jpg,ice_hockey
./train/41.jpg,baseball
./train/42.jpg,tennis
./train/43.jpg,table_tennis
./train/44.jpg,ice_hockey
./train/45.jpg,volleyball
./train/46.jpg,hockey
./train/47.jpg,kabaddi
./train/48.jpg,fencing
./train/49.jpg,shooting
./train/50.jpg,kabaddi
./train/51.jpg,wrestling
./train/52.jpg,fencing
./train/53.jpg,badminton
./train/54.jpg,baseball
./train/55.jpg,formula1
./train/56.jpg,fencing
./train/57.jpg,gymnastics
./train/58.jpg,boxing
./train/59.jpg,ice_hockey
./train/60.jpg,badminton
./train/61.jpg,table_tennis
./train/62.jpg,table_tennis
./train/63.jpg,badminton
./train/64.jpg,badminton
./train/65.jpg,wwe
./train/66.jpg,hockey
./train/67.jpg,boxing
./train/68.jpg,swimming
./train/69.jpg,swimming
./train/70.jpg,kabaddi
./train/71.jpg,weight_lifting
./train/72.jpg,weight_lifting
./train/73.jpg,boxing
./train/74.jpg,football
./train/75.jpg,tennis
./train/76.jpg,motogp
./train/77.jpg,fencing
./train/78.jpg,volleyball
./train/79.jpg,gymnastics
./train/80.jpg,motogp
./train/81.jpg,chess
./train/82.jpg,ice_hockey
./train/83.jpg,ice_hockey
./train/84.jpg,badminton
./train/85.jpg,wrestling
./train/86.jpg,baseball
./train/87.jpg,boxing
./train/88.jpg,badminton
./train/89.jpg,weight_lifting
./train/90.jpg,wrestling
./train/91.jpg,tennis
./train/92.jpg,tennis
./train/93.jpg,formula1
./train/94.jpg,football
./train/95.jpg,chess
./train/96.jpg,formula1
./train/97.jpg,ice_hockey
./train/98.jpg,wrestling
./train/99.jpg,wrestling
./train/100.jpg,tennis
./train/101.jpg,cricket
./train/102.jpg,motogp
./train/103.jpg,wwe
./train/104.jpg,swimming
./train/105.jpg,shooting
./train/106.jpg,formula1
./train/107.jpg,wrestling
./train/108.jpg,cricket
./train/109.jpg,tennis
./train/110.jpg,wwe
./train/111.jpg,chess
./train/112.jpg,ice_hockey
./train/113.jpg,wrestling
./train/114.jpg,gymnastics
./train/115.jpg,badminton
./train/116.jpg,wrestling
./train/117.jpg,gymnastics
./train/118.jpg,formula1
./train/119.jpg,chess
./train/120.jpg,football
./train/121.jpg,fencing
./train/122.jpg,cricket
./train/123.jpg,wwe
./train/124.jpg,volleyball
./train/125.jpg,swimming
./train/126.jpg,tennis
